Id,Title,Type,Variant,Ip1,Ip2,Overgang,Posisjon,Lydkilde,Duration,"Front Time","Actual Duration",Stikkord,Media,"Tekniske opplysninger"
A1,VIGNETT,VB,FULL,EVS,,,,,00:00:15,9:45:00,00:00:00,,,
A2,"HEAD1 - Kropppspress",VB,STK,EVS,,WIPE,,,00:00:10,9:45:15,00:00:00,,,
A3,"HEAD2 - Bestikk tyveri",VB,STK,EVS,,WIPE,,,00:00:10,9:45:25,00:00:00,,,
A4,"HEAD3 - just dance",VB,STK,EVS,,WIPE,,,00:00:10,9:45:35,00:00:00,,,
A5,"HEAD4- sport/ senior trening",VB,STK,EVS,,WIPE,,,00:00:10,9:45:45,00:00:00,,,
A6,INTRO,,,K3,,,,,00:00:20,9:45:55,00:00:00,,,
A7,"SAK- Kroppspress",VB,FULL,EVS,,,,,00:00:54,9:46:15,00:00:00,,,
A8,INTRO,,,K3,,,,,00:00:10,9:47:09,00:00:00,,,
A9,"SAK - Bestikk",VB,FULL,EVS,,,,,00:01:10,9:47:19,00:00:00,,,
A10,INTRO,,,K3,,,,,00:00:10,9:48:29,00:00:00,,,
A11,Splitt/Butterfly,DVE,2LIKE,,"Live U",,,,00:00:20,9:48:39,00:00:00,,,
A12,Direkte,DIR,,,,,,,00:01:00,9:48:59,00:00:00,,,
A13,INTRO,,,K3,,,,,00:00:10,9:49:59,00:00:00,,,
A14,"SAK - Just dance",VB,FULL,EVS,,,,,00:03:00,9:50:09,00:00:00,,,
A15,"Gjester i studio",,,,,,,,00:02:30,9:53:09,00:00:00,,,
A16,"VIGNETT SPORT",VB,FULL,EVS,,,,,00:00:10,9:55:39,00:00:00,,,
A17,INTRO,,,K2,,,,,00:00:10,9:55:49,00:00:00,,,
A18,"SAK - Senior trening",VB,FULL,EVS,,,,,00:02:21,9:55:59,00:00:00,,,
A19,V̠RET,,,K2,,,,,00:01:00,9:58:20,00:00:00,,,
A20,"Takk for n̴",,,K3,,,,,00:00:10,9:59:20,00:00:00,,,
A21,Sluttvignett,VB,FULL,EVS,,,,,00:00:12,9:59:30,00:00:00,,,
A22,"SLUTT TID",,,,,,,,00:00:00,9:59:42,00:00:00,,,
